elpd_diff	elpd_se	Sim	Phylo_effect
55.4834142059257	7.889804733410765	1	3
26.646422375589943	7.728660429506096	2	3
12.958493549824365	4.184893847700014	3	2
12.693921179292605	4.016611494627589	4	1.5
31.792714919354644	5.6984560809629174	5	2
36.65456606245888	5.871330234533332	6	3
36.991191094645025	6.192766718194165	7	2
-0.22284727223920342	0.6766310334332392	8	0.5
53.02205720576472	6.294058382555723	9	2
-0.45216319448867104	0.8296568593562559	10	0.2
-0.6321394331077919	1.0805194020167148	11	0.5
54.58951701901731	9.625385099198287	12	2
21.46712781824439	5.885169698760494	13	1
4.92584359551387	2.5734599823927713	14	0.8
0.7858683332565697	1.5952211794343767	15	0.5
1.8191912720962735	1.822524028797185	16	0.5
7.801203280474632	3.4803708948222414	17	0.8
31.328478100070726	6.987116009363093	18	3
20.45733110593042	5.9157964696763194	19	1
-0.6686729632217503	0.35463201546501133	20	0.2
1.045446919904272	1.259812839636343	21	0.5
8.573763173113946	3.4818622199746505	22	1
49.05332169937549	7.240788631624896	23	2
16.881889179665567	5.4553541096200835	24	1.5
61.88342613710321	7.6148017955947545	25	3.5
1.0728776828507458	1.320376627857338	26	0.2
24.054142446606377	5.122956613505915	27	1.5
4.3371645455786885	2.221794145575455	28	0.8
15.474439044454417	4.102973665178994	29	0.8
37.3100275276974	6.211278778956701	30	3
114.48487292894498	10.082278896038567	31	3.5
33.95661251050925	6.07009449779855	32	2
55.55085404970646	6.719154457806234	33	2
12.685431051597503	4.590788264892895	34	1
2.0929260327975356	1.8744694654010399	35	1
70.12664874852427	10.270616994938026	36	2
-0.5497706547347576	0.41911564017934577	37	0.2
77.85525853414552	7.685187293806245	38	3.5
41.53776832700067	6.750067436748225	39	2
44.07060391291135	6.755415894406113	40	2
14.408609463897287	4.799924468027275	41	1
2.480938421679827	2.0892090992645866	42	0.8
13.80405834472462	4.597922580221163	43	0.8
34.19861822277895	6.396570422823167	44	2
5.844375452957769	4.187267337775705	45	0.8
1.5498433345167726	1.8542264162497968	46	0.5
33.672566424855845	6.524711331366361	47	2
40.297694111313156	7.684879000996663	48	2
44.169224716605626	6.025242507247063	49	3
0.5308271217878957	1.1909972988440658	50	1
8.693233129818415	3.6353563387310026	51	1
1.9523310124632847	1.8493825012767822	52	0.2
66.23517590346364	8.07626681529837	53	3
33.761504237820915	6.898056350858895	54	1.5
58.417462977849674	7.993731028260755	55	2
10.974391217786698	4.137691471799414	56	0.8
96.34216795013297	9.487186391993433	57	3
-0.4186912027366354	0.8073074330746683	58	0.8
41.35848755433509	6.332636568300857	59	1.5
-0.3939195551346035	0.5154644120666156	60	0.2
12.642869142867578	4.355154825119249	61	0.8
9.451144730274152	4.004062269643816	62	1
49.32942559106547	6.921431138356118	63	3
58.18421480102033	8.721437816367432	64	3
-0.4696174628121117	0.48151418209485797	65	0.5
12.077826244272991	4.237234794163	66	1
44.638184251865084	7.394622940627479	67	2
24.473747694494072	6.738056757697977	68	1.5
3.501338327423106	2.580847358343726	69	0.5
101.06989336382222	7.838030962304291	70	3.5
30.946122826588923	5.926175805148592	71	3.5
28.769857432888035	6.062962114647058	72	3
11.702244786801423	3.827414323019642	73	0.8
13.108282202206132	6.088253631347797	74	1
17.744872680399176	5.246908606979318	75	2
3.0310784485277527	1.9144327496355598	76	0.8
70.18268427205362	7.78416931139306	77	3.5
61.8122888171884	8.446087185592273	78	3
8.240901330649525	2.9323592724336613	79	1
72.0103077422597	8.778173621609849	80	3
103.86614440356864	9.706401908499792	81	3
53.51249766023216	6.158066305126496	82	3.5
1.6192397965216134	1.8911231492791483	83	0.2
-0.6812142895447177	0.5538719554365984	84	0.2
22.147497123829048	6.055270915603361	85	1.5
40.73464829947024	6.189527219798996	86	2
21.85040679151904	7.331681119476675	87	1.5
10.619974147924268	4.4253556631051065	88	1
12.322543519813408	4.55590500862841	89	0.8
-0.707508885271027	0.5188021093110422	90	0.2
74.98792034936447	7.557346175568005	91	3.5
92.04270490872307	8.677351516543	92	2
41.649351350648864	7.1927596420629545	93	2
13.162455652760542	5.297591241387599	94	1.5
66.0357499398108	7.9764137358011515	95	3.5
50.16835510641132	7.8191038954311995	96	1.5
12.766660065742261	4.604136761188868	97	1
6.267058149460341	3.109452585758336	98	0.5
65.9676060944652	7.688023668128566	99	3.5
-0.3308968446134344	0.7782642256856268	100	0.2
